id,Name,Year,IMDB Rating,Metascore,Number of Votes
0,Goodfellas,(1990),8.7,89,818956
1,Edward Scissorhands,(1990),7.9,74,390484
2,Home Alone,(1990),7.5,63,365292
3,Back to the Future Part III,(1990),7.4,55,323850
4,The Godfather: Part III,(1990),7.6,60,301711
5,Die Hard 2,(1990),7.1,67,293336
6,Total Recall,(1990),7.5,57,261203
7,Pretty Woman,(1990),7.0,51,238033
8,Dances with Wolves,(1990),8.0,72,204601
9,Ghost,(1990),7.0,52,167088
10,The Hunt for Red October,(1990),7.6,58,154508
11,Misery,(1990),7.8,75,150755
12,Kindergarten Cop,(1990),6.1,61,117062
13,Miller's Crossing,(1990),7.8,66,111658
14,Rocky V,(1990),5.2,55,104402
15,Awakenings,(1990),7.8,74,103320
16,Tremors,(1990),7.1,65,99870
17,Jacob's Ladder,(I) (1990),7.5,62,83327
18,Flatliners,(1990),6.6,55,69751
19,Wild at Heart,(1990),7.2,52,68600
20,Days of Thunder,(1990),5.9,60,66337
21,La Femme Nikita,(1990),7.4,56,59354
22,Arachnophobia,(1990),6.4,67,54351
23,Darkman,(1990),6.4,65,51227
24,Another 48 Hrs.,(1990),5.8,23,32570
25,Presumed Innocent,(1990),6.9,72,32018
26,Joe Versus the Volcano,(1990),5.7,45,30152
27,Problem Child,(1990),5.3,27,24365
28,Mermaids,(1990),6.6,56,24208
29,Air America,(1990),5.7,33,23625
30,Pump Up the Volume,(1990),7.2,77,22975
31,The Grifters,(1990),7.0,86,22228
32,Green Card,(1990),6.2,58,19874
33,Hamlet,(1990),6.8,53,19021
34,Quick Change,(1990),6.8,56,17112
35,My Blue Heaven,(I) (1990),6.2,35,16520
36,The Adventures of Ford Fairlane,(1990),6.3,24,15339
37,Days of Being Wild,(1990),7.6,96,13773
38,Postcards from the Edge,(1990),6.7,71,13058
39,Tales from the Darkside: The Movie,(1990),6.2,54,12334
40,Reversal of Fortune,(1990),7.3,93,12302
41,I Love You to Death,(1990),6.4,45,11769
42,Cadillac Man,(1990),5.6,50,11527
43,Alice,(1990),6.6,67,11496
44,House Party,(1990),6.3,76,9516
45,The Two Jakes,(1990),6.1,56,9227
46,The Hot Spot,(1990),6.4,56,8779
47,Metropolitan,(1990),7.5,77,7921
48,Trust,(1990),7.5,67,7846
49,Graveyard Shift,(1990),4.8,28,7814
50,Life Is Sweet,(1990),7.5,88,7085
51,Don't Come Knocking,(2005),6.7,55,6744
52,Truly Madly Deeply,(1990),7.3,72,6443
53,Bad Influence,(1990),6.2,63,6148
54,Two Evil Eyes,(1990),6.1,61,4846
55,Vincent & Theo,(1990),7.1,65,3107
56,The Silence of the Lambs,(1991),8.6,85,1013153
57,Terminator 2,(1991),8.5,75,829277
58,Beauty and the Beast,(1991),8.0,95,353803
59,Hook,(1991),6.7,52,199718
60,Robin Hood: Prince of Thieves,(1991),6.9,51,156360
61,Cape Fear,(1991),7.3,73,140691
62,Point Break,(1991),7.2,58,126346
63,JFK,(1991),8.0,72,123446
64,Thelma & Louise,(1991),7.4,88,111850
65,The Addams Family,(1991),6.9,57,106811
66,Boyz n the Hood,(1991),7.8,76,104055
67,Barton Fink,(1991),7.7,69,97470
68,The Naked Gun 2½: The Smell of Fear,(1991),6.8,65,90478
69,Hot Shots!,(1991),6.7,61,86408
70,The Doors,(1991),7.2,62,73340
71,Delicatessen,(1991),7.7,66,71268
72,The Fisher King,(1991),7.6,61,68822
73,Backdraft,(1991),6.7,38,62462
74,My Girl,(1991),6.8,56,61437
75,Star Trek VI: The Undiscovered Country,(1991),7.2,65,60607
76,Father of the Bride,(1991),6.5,51,59375
77,Fried Green Tomatoes,(1991),7.7,64,56884
78,What About Bob?,(1991),7.0,60,54513
79,Bill & Ted's Bogus Journey,(1991),6.2,60,53521
80,Hudson Hawk,(1991),5.8,17,46173
81,The Rocketeer,(1991),6.4,62,46083
82,Night on Earth,(1991),7.8,68,45784
83,City Slickers,(1991),6.7,70,41878
84,My Own Private Idaho,(1991),7.1,77,40863
85,Naked Lunch,(1991),7.1,67,39815
86,The Double Life of Veronique,(1991),7.9,86,32612
87,L.A. Story,(1991),6.7,66,26588
88,New Jack City,(1991),6.6,61,26302
89,Regarding Henry,(1991),6.7,47,25456
90,Frankie and Johnny,(1991),6.7,66,24710
91,Dead Again,(1991),7.0,66,23078
92,Only Yesterday,(1991),7.7,90,16722
93,Slacker,(1991),7.1,69,16677
94,The Prince of Tides,(1991),6.7,65,13597
95,Grand Canyon,(1991),6.9,64,13382
96,Soapdish,(1991),6.5,65,12470
97,Little Man Tate,(1991),6.7,71,12336
98,High Heels,(1991),7.2,51,11192
99,Kafka,(1991),6.9,46,8448
100,F/X2,(1991),5.8,48,7352
101,Guilty by Suspicion,(1991),6.5,64,6711
102,Class Action,(1991),6.4,58,5610
103,Homicide,(1991),7.1,84,5105
104,A Brighter Summer Day,(1991),8.4,90,4296
105,A Brief History of Time,(1991),7.4,78,4260
106,Johnny Suede,(1991),5.8,53,3252
107,Reservoir Dogs,(1992),8.3,79,750575
108,Unforgiven,(1992),8.2,85,310275
109,Batman Returns,(1992),7.0,68,236113
110,Alien 3,(1992),6.4,59,235840
111,Scent of a Woman,(1992),8.0,59,213878
112,A Few Good Men,(1992),7.7,62,199241
113,Bram Stoker's Dracula,(1992),7.5,57,158889
114,Basic Instinct,(1992),6.9,41,146105
115,Army of Darkness,(1992),7.6,57,141580
116,Lethal Weapon 3,(1992),6.7,36,138081
117,The Last of the Mohicans,(1992),7.8,76,125333
118,Wayne's World,(1992),7.0,57,124098
119,The Bodyguard,(1992),6.2,39,99688
120,My Cousin Vinny,(1992),7.5,68,90010
121,Patriot Games,(1992),6.9,64,87759
122,Glengarry Glen Ross,(1992),7.8,80,83552
123,Dead Alive,(1992),7.5,54,82794
124,A League of Their Own,(1992),7.2,67,78160
125,Universal Soldier,(1992),6.0,35,73600
126,Malcolm X,(1992),7.7,72,70078
127,Twin Peaks: Fire Walk with Me,(1992),7.2,28,69207
128,Under Siege,(1992),6.5,58,66337
129,El Mariachi,(1992),6.9,73,55920
130,Far and Away,(1992),6.5,49,51560
131,The Mighty Ducks,(1992),6.5,46,48958
132,Chaplin,(1992),7.6,47,46655
133,The Player,(1992),7.6,86,45950
134,A River Runs Through It,(1992),7.3,68,45589
135,The Crying Game,(1992),7.3,90,44593
136,Buffy the Vampire Slayer,(1992),5.6,48,34642
137,Encino Man,(1992),5.7,25,32414
138,Bad Lieutenant,(1992),7.1,70,32213
139,The Lawnmower Man,(1992),5.4,42,29957
140,1492: Conquest of Paradise,(1992),6.5,47,24546
141,Howards End,(1992),7.5,89,23476
142,Boomerang,(1992),5.4,45,22016
143,Strictly Ballroom,(1992),7.2,72,21977
144,School Ties,(1992),6.9,65,19436
145,Juice,(1992),7.1,60,19222
146,Memoirs of an Invisible Man,(1992),5.9,48,18944
147,Hoffa,(1992),6.6,50,18454
148,Captain Ron,(1992),5.7,39,18152
149,Cool World,(1992),4.8,28,18016
150,Lorenzo's Oil,(1992),7.2,80,17735
151,3 Ninjas,(1992),5.2,36,17667
152,Sleepwalkers,(1992),5.2,38,16638
153,Newsies,(1992),7.0,46,16556
154,Pet Sematary II,(1992),4.8,35,14874
155,Like Water for Chocolate,(1992),7.2,86,14725
156,The Distinguished Gentleman,(1992),5.9,45,13339
157,Orlando,(1992),7.2,74,11124
158,Benny's Video,(1992),7.2,60,10866
159,Twin Dragons,(1992),6.4,54,9449
160,One False Move,(1992),7.2,87,8216
161,American Me,(1992),7.2,66,6531
162,Children of the Corn II: The Final Sacrifice,(1992),4.2,18,6431
163,Light Sleeper,(1992),6.9,70,4120
164,Night and the City,(1992),5.8,61,3954
165,Brain Donors,(1992),7.1,44,3528
166,Schindler's List,(1993),8.9,93,978212
167,Jurassic Park,(1993),8.1,68,701124
168,Groundhog Day,(1993),8.0,72,494203
169,The Nightmare Before Christmas,(1993),8.0,82,249303
170,The Fugitive,(1993),7.8,88,230419
171,Mrs. Doubtfire,(1993),6.9,53,202691
172,Philadelphia,(1993),7.7,66,194086
173,What's Eating Gilbert Grape,(1993),7.8,73,185915
174,True Romance,(1993),7.9,57,177159
175,Falling Down,(1993),7.6,56,145904
176,Dazed and Confused,(1993),7.7,78,135982
177,Demolition Man,(1993),6.6,34,135717
178,Sleepless in Seattle,(1993),6.8,72,134596
179,In the Name of the Father,(1993),8.1,84,125995
180,Last Action Hero,(1993),6.3,44,116264
181,A Bronx Tale,(1993),7.8,80,107932
182,Cliffhanger,(1993),6.4,60,104347
183,Robin Hood: Men in Tights,(1993),6.7,44,99809
184,The Firm,(1993),6.8,58,97118
185,In the Line of Fire,(1993),7.2,74,79690
186,Cool Runnings,(1993),6.9,60,76854
187,Three Colors: Blue,(1993),8.0,85,70143
188,The Piano,(1993),7.6,89,68920
189,The Pelican Brief,(1993),6.6,50,64846
190,Addams Family Values,(1993),6.6,62,63930
191,Free Willy,(1993),5.9,79,57217
192,Indecent Proposal,(1993),5.8,35,52574
193,The Remains of the Day,(1993),7.9,84,50920
194,Benny & Joon,(1993),7.2,57,49144
195,Kalifornia,(1993),6.7,49,45109
196,Menace II Society,(1993),7.5,76,43417
197,The Age of Innocence,(1993),7.2,83,39916
198,This Boy's Life,(1993),7.3,60,39240
199,Short Cuts,(1993),7.7,79,37561
200,Grumpy Old Men,(1993),7.0,53,37554
201,Rising Sun,(1993),6.2,56,37544
202,Naked,(1993),7.9,84,27071
203,Searching for Bobby Fischer,(1993),7.5,89,25613
204,The Man Without a Face,(1993),6.7,62,24611
205,Cronos,(1993),6.7,70,22242
206,Jason Goes to Hell: The Final Friday,(1993),4.3,17,22083
207,Needful Things,(1993),6.2,43,18654
208,Mad Dog and Glory,(1993),6.2,71,18320
209,Swing Kids,(1993),6.8,39,14029
210,Iron Monkey,(1993),7.6,79,13968
211,The Dark Half,(1993),5.9,53,13235
212,The Joy Luck Club,(1993),7.6,84,13202
213,Kika,(1993),6.5,53,10346
214,Boxing Helena,(1993),4.6,26,10217
215,Poetic Justice,(1993),5.9,51,10051
216,CB4,(1993),6.2,49,7784
217,M. Butterfly,(1993),6.8,43,7374
218,Ocean Waves,(1993 TV Movie),6.9,73,6467
219,Even Cowgirls Get the Blues,(1993),4.3,28,6431
220,King of the Hill,(1993),7.6,86,6379
221,The Shawshank Redemption,(1994),9.3,80,1901171
222,Pulp Fiction,(1994),8.9,94,1486731
223,Forrest Gump,(1994),8.8,82,1436504
224,Léon: The Professional,(1994),8.6,64,826315
225,The Lion King,(1994),8.5,83,741257
226,Dumb and Dumber,(1994),7.3,41,311136
227,The Mask,(1994),6.9,56,291514
228,Speed,(1994),7.2,78,283364
229,Interview with the Vampire: The Vampire Chronicles,(1994),7.6,59,258409
230,Ace Ventura: Pet Detective,(1994),6.9,37,237469
231,True Lies,(1994),7.2,63,205835
232,Clerks,(1994),7.8,70,192495
233,Natural Born Killers,(1994),7.3,74,188367
234,Stargate,(1994),7.1,42,157963
235,Ed Wood,(1994),7.9,70,150952
236,The Crow,(1994),7.6,71,146838
237,Legends of the Fall,(1994),7.5,45,123622
238,Four Weddings and a Funeral,(1994),7.1,81,117477
239,Naked Gun 33 1/3: The Final Insult,(1994),6.5,63,83612
240,The Santa Clause,(1994),6.4,57,76550
241,Clear and Present Danger,(1994),6.9,74,75540
242,Three Colors: Red,(1994),8.1,100,70516
243,The Hudsucker Proxy,(1994),7.3,53,69274
244,Beverly Hills Cop III,(1994),5.5,16,65870
245,Star Trek: Generations,(1994),6.6,55,65770
246,The Flintstones,(1994),4.8,38,65318
247,Quiz Show,(1994),7.5,88,57749
248,The Client,(1994),6.7,65,50431
249,Three Colors: White,(1994),7.7,88,49957
250,Shallow Grave,(1994),7.3,67,49799
251,Timecop,(1994),5.8,48,48540
252,In the Mouth of Madness,(1994),7.2,53,48519
253,Chungking Express,(1994),8.1,77,46607
254,Don Juan DeMarco,(1994),6.7,63,43877
255,Airheads,(1994),6.1,46,40740
256,Little Women,(1994),7.3,87,40194
257,"The Adventures of Priscilla, Queen of the Desert",(1994),7.5,68,40136
258,Disclosure,(1994),6.0,58,39715
259,Wyatt Earp,(1994),6.7,47,38691
260,The Legend of Drunken Master,(1994),7.6,74,37695
261,Muriel's Wedding,(1994),7.2,63,30151
262,It Could Happen to You,(1994),6.3,64,29970
263,Il Postino,(1994),7.7,81,28434
264,I.Q.,(1994),6.2,66,21161
265,Hoop Dreams,(1994),8.3,98,21005
266,Swimming with Sharks,(1994),7.1,66,20186
267,Death and the Maiden,(1994),7.3,72,19098
268,The Last Seduction,(1994),7.1,85,17557
269,City Slickers II: The Legend of Curly's Gold,(1994),5.5,43,16131
270,Nobody's Fool,(1994),7.4,86,15935
271,Crumb,(1994),8.0,93,15501
272,Renaissance Man,(1994),6.1,44,14863
273,Guarding Tess,(1994),6.2,46,13712
274,Ready to Wear,(1994),5.1,48,13114
275,Ashes of Time,(1994),7.2,69,11159
276,PCU,(1994),6.6,42,11032
277,Blue Chips,(1994),6.1,54,10301
278,Mixed Nuts,(1994),5.4,14,8809
279,Cabin Boy,(1994),5.1,21,7268
280,Crooklyn,(1994),6.9,65,6711
281,Cobb,(1994),6.5,66,6291
282,Death Wish V: The Face of Death,(1994),4.8,25,5445
283,Spanking the Monkey,(1994),6.3,66,5416
284,Se7en,(1995),8.6,65,1159470
285,The Usual Suspects,(1995),8.6,77,830243
286,Braveheart,(1995),8.4,68,823067
287,Toy Story,(1995),8.3,95,710005
288,Twelve Monkeys,(1995),8.0,74,508675
289,Heat,(1995),8.2,76,479200
290,Casino,(1995),8.2,73,375187
291,Die Hard with a Vengeance,(1995),7.6,58,321967
292,Jumanji,(1995),6.9,39,243093
293,Apollo 13,(I) (1995),7.6,77,228319
294,Before Sunrise,(1995),8.1,77,212299
295,GoldenEye,(1995),7.2,65,212113
296,Batman Forever,(1995),5.4,51,207084
297,Bad Boys,(1995),6.8,41,190102
298,Ace Ventura: When Nature Calls,(1995),6.3,45,175577
299,Waterworld,(1995),6.1,56,156115
300,Desperado,(1995),7.2,55,150106
301,Clueless,(1995),6.8,68,140175
302,Pocahontas,(I) (1995),6.7,58,136979
303,Billy Madison,(1995),6.4,16,113890
304,Ghost in the Shell,(1995),8.0,76,104654
305,Mallrats,(1995),7.2,41,104448
306,Babe,(1995),6.8,83,101975
307,Leaving Las Vegas,(1995),7.6,82,100426
308,Casper,(1995),6.1,49,97171
309,Outbreak,(1995),6.6,65,96476
310,Mortal Kombat,(1995),5.8,58,88046
311,The Basketball Diaries,(1995),7.3,46,87965
312,Crimson Tide,(1995),7.3,66,87753
313,Sense and Sensibility,(1995),7.7,84,85689
314,Friday,(1995),7.3,54,83553
315,Dead Man,(1995),7.7,62,78633
316,While You Were Sleeping,(1995),6.7,67,78608
317,Dead Man Walking,(1995),7.5,80,78233
318,The Quick and the Dead,(1995),6.4,49,74083
319,Get Shorty,(1995),6.9,82,67098
320,Tommy Boy,(1995),7.1,46,67061
321,Species,(1995),5.8,49,65404
322,The Bridges of Madison County,(1995),7.6,66,60015
323,The City of Lost Children,(1995),7.6,73,59070
324,Hackers,(1995),6.2,46,58417
325,Showgirls,(1995),4.7,16,53978
326,The Net,(1995),5.9,51,52568
327,The American President,(1995),6.8,67,45780
328,Copycat,(1995),6.6,54,45700
329,Dangerous Minds,(1995),6.4,47,41524
330,Empire Records,(1995),6.7,30,41480
331,French Kiss,(1995),6.6,50,41433
332,To Die For,(1995),6.8,86,37483
333,Congo,(1995),5.1,22,37124
334,Rob Roy,(1995),6.9,55,36599
335,Mighty Aphrodite,(1995),7.1,59,34155
336,Rumble in the Bronx,(1995),6.7,61,33009
337,Mr. Holland's Opus,(1995),7.3,59,31930
338,Sabrina,(1995),6.3,56,31886
339,Dolores Claiborne,(1995),7.4,62,31827
340,Smoke,(1995),7.4,70,29829
341,Father of the Bride Part II,(1995),6.0,49,29084
342,Welcome to the Dollhouse,(1995),7.4,83,28409
343,A Little Princess,(1995),7.7,83,27318
344,Nixon,(1995),7.1,66,25684
345,Virtuosity,(1995),5.6,39,24984
346,Village of the Damned,(1995),5.6,41,23971
347,Things to Do in Denver When You're Dead,(1995),6.8,46,23583
348,Cutthroat Island,(1995),5.6,37,22807
349,Grumpier Old Men,(1995),6.6,46,21013
350,Fallen Angels,(1995),7.7,71,18659
351,Vampire in Brooklyn,(1995),4.5,27,18611
352,Clockers,(1995),6.9,71,17854
353,It Takes Two,(1995),5.8,45,16485
354,Higher Learning,(1995),6.5,54,15791
355,Devil in a Blue Dress,(1995),6.7,78,14644
356,Living in Oblivion,(1995),7.5,81,13863
357,Total Eclipse,(1995),6.6,42,11518
358,The Crossing Guard,(1995),6.3,46,11405
359,Fair Game,(1995),4.2,13,10779
360,Boys on the Side,(1995),6.4,61,10319
361,Home for the Holidays,(1995),6.6,56,10045
362,Safe,(1995),7.2,76,9653
363,The Flower of My Secret,(1995),7.1,75,8572
364,Blue in the Face,(1995),6.7,54,8136
365,Kicking and Screaming,(1995),7.0,75,7972
366,Circle of Friends,(1995),6.6,70,7376
367,The Mangler,(1995),4.0,8,7188
368,The Brothers McMullen,(1995),6.6,73,6650
369,Cold Comfort Farm,(1995 TV Movie),7.3,82,5969
370,Trainspotting,(1996),8.2,83,541709
371,Fargo,(1996),8.1,85,511275
372,Independence Day,(1996),7.0,59,467119
373,Mission: Impossible,(1996),7.1,59,327956
374,The Rock,(1996),7.4,58,277478
375,Scream,(1996),7.2,65,243055
376,From Dusk Till Dawn,(1996),7.3,52,241140
377,Jerry Maguire,(1996),7.3,77,207318
378,Mars Attacks!,(1996),6.3,52,185982
379,Romeo + Juliet,(1996),6.8,60,183072
380,Happy Gilmore,(1996),7.0,31,169108
381,Sleepers,(1996),7.6,49,165692
382,The English Patient,(1996),7.4,87,155182
383,Twister,(1996),6.3,68,154044
384,Primal Fear,(1996),7.7,47,147698
385,Space Jam,(1996),6.3,59,127717
386,A Time to Kill,(1996),7.4,54,110868
387,Ransom,(1996),6.6,60,105790
388,Star Trek: First Contact,(1996),7.6,71,104420
389,The Nutty Professor,(1996),5.6,62,94232
390,Eraser,(1996),6.1,56,91143
391,101 Dalmatians,(1996),5.7,49,83949
392,Broken Arrow,(1996),6.0,61,81904
393,Sling Blade,(1996),8.0,84,77600
394,The People vs. Larry Flynt,(1996),7.3,79,76916
395,Kingpin,(1996),6.9,43,67928
396,Swingers,(1996),7.3,71,67895
397,Phenomenon,(1996),6.4,41,67573
398,The Birdcage,(1996),7.0,72,67456
399,The Long Kiss Goodnight,(1996),6.7,44,64453
400,Escape from L.A.,(1996),5.7,54,59555
401,Bottle Rocket,(1996),7.1,65,59455
402,That Thing You Do!,(1996),6.9,71,54045
403,Breaking the Waves,(1996),7.9,76,53197
404,Jack,(1996),5.8,31,49935
405,Shine,(1996),7.7,87,46092
406,Beavis and Butt-Head Do America,(1996),6.8,64,45945
407,Crash,(1996),6.4,47,45267
408,Bound,(1996),7.4,61,44184
409,Courage Under Fire,(1996),6.6,77,43743
410,The Fan,(1996),5.8,32,41268
411,Tin Cup,(1996),6.3,60,40585
412,Michael,(1996),5.7,38,36775
413,The First Wives Club,(1996),6.2,58,35334
414,Fear,(1996),6.2,51,34573
415,Spy Hard,(1996),5.3,25,32071
416,Hard Eight,(1996),7.3,78,32000
417,Bulletproof,(1996),5.8,30,31538
418,Secrets & Lies,(1996),8.0,91,31342
419,Evita,(1996),6.3,45,30771
420,Emma,(1996),6.7,66,30552
421,Pusher,(1996),7.4,72,29210
422,Beautiful Girls,(1996),7.2,64,28219
423,The Arrival,(1996),6.3,56,28103
424,Michael Collins,(1996),7.2,60,26062
425,Lone Star,(1996),7.5,78,24811
426,Waiting for Guffman,(1996),7.6,71,23809
427,Freeway,(1996),6.9,61,23401
428,The Truth About Cats & Dogs,(1996),6.3,64,23237
429,Bio-Dome,(1996),4.4,1,22993
430,Thinner,(1996),5.7,33,22808
431,Stealing Beauty,(1996),6.6,60,22067
432,Marvin's Room,(1996),6.7,68,22042
433,Barb Wire,(1996),3.2,40,21896
434,Kazaam,(1996),2.8,24,20502
435,White Squall,(1996),6.6,53,19058
436,Down Periscope,(1996),6.0,39,18326
437,Muppet Treasure Island,(1996),6.9,64,17655
438,Basquiat,(1996),6.9,65,17068
439,Brassed Off,(1996),7.1,60,16782
440,Flirting with Disaster,(1996),6.8,81,15932
441,Big Night,(1996),7.3,80,14218
442,When We Were Kings,(1996),8.0,83,13242
443,My Fellow Americans,(1996),6.5,49,12951
444,Mary Reilly,(1996),5.8,44,12609
445,High School High,(1996),5.5,33,11465
446,The Pillow Book,(1996),6.7,64,11198
447,The Chamber,(1996),6.0,45,11159
448,Dunston Checks In,(1996),5.3,54,10488
449,Shall We Dance?,(1996),7.8,68,9673
450,Feeling Minnesota,(1996),5.4,30,9556
451,The Portrait of a Lady,(1996),6.3,61,9434
452,Jude,(1996),7.0,68,9141
453,Lawnmower Man 2: Beyond Cyberspace,(1996),2.4,29,8407
454,SubUrbia,(1996),6.8,62,7843
455,Ed,(1996),2.6,25,7564
456,Albino Alligator,(1996),6.1,48,6981
457,Titanic,(1997),7.8,75,877259
458,Good Will Hunting,(1997),8.3,70,692489
459,Life Is Beautiful,(1997),8.6,59,488902
460,L.A. Confidential,(1997),8.3,90,456201
461,Men in Black,(1997),7.3,71,444895
462,The Fifth Element,(1997),7.7,52,376827
463,The Lost World: Jurassic Park,(1997),6.5,59,310567
464,Face/Off,(1997),7.3,82,305901
465,The Game,(1997),7.8,61,290686
466,The Devil's Advocate,(1997),7.5,60,283376
467,Jackie Brown,(1997),7.5,64,262114
468,Princess Mononoke,(1997),8.4,76,259307
469,Donnie Brasco,(1997),7.8,76,242579
470,Gattaca,(1997),7.8,64,242524
471,Con Air,(1997),6.8,52,242407
472,Liar Liar,(1997),6.8,70,242007
473,As Good as It Gets,(1997),7.7,67,241021
474,Starship Troopers,(1997),7.2,51,238158
475,Contact,(1997),7.4,62,221355
476,Boogie Nights,(1997),7.9,85,205233
477,Batman & Robin,(1997),3.7,28,205099
478,Austin Powers: International Man of Mystery,(1997),7.0,51,195766
479,Alien: Resurrection,(1997),6.2,63,194518
480,Cube,(1997),7.3,61,178127
481,Hercules,(1997),7.3,74,163477
482,Tomorrow Never Dies,(1997),6.5,52,159742
483,Air Force One,(1997),6.5,61,157991
484,Scream 2,(1997),6.1,63,135205
485,Event Horizon,(1997),6.7,35,132808
486,Chasing Amy,(1997),7.3,71,120690
487,I Know What You Did Last Summer,(1997),5.7,52,114851
488,Lost Highway,(1997),7.6,52,109546
489,My Best Friend's Wedding,(1997),6.3,50,108145
490,Seven Years in Tibet,(1997),7.0,55,105440
491,Anastasia,(1997),7.1,59,96365
492,The Jackal,(1997),6.4,36,93859
493,The Full Monty,(1997),7.2,75,87978
494,Bean,(1997),6.4,52,82855
495,Conspiracy Theory,(1997),6.7,49,82560
496,Anaconda,(1997),4.7,37,80942
497,Grosse Pointe Blank,(1997),7.4,76,78361
498,Cop Land,(1997),6.9,64,74937
499,Flubber,(1997),5.2,37,71520
500,Wag the Dog,(1997),7.1,73,71476
501,Dante's Peak,(1997),5.9,43,68395
502,G.I. Jane,(1997),5.9,62,65112
503,Speed 2: Cruise Control,(1997),3.8,23,64995
504,Volcano,(1997),5.4,55,63269
505,Amistad,(1997),7.3,63,61687
506,George of the Jungle,(1997),5.4,53,61191
507,The Postman,(1997),6.0,29,60620
508,Spawn,(1997),5.2,34,56913
509,Kiss the Girls,(1997),6.6,46,55304
510,The Saint,(1997),6.2,50,55059
511,The Rainmaker,(1997),7.1,72,51042
512,Funny Games,(1997),7.6,69,50478
513,The Devil's Own,(1997),6.1,53,50141
514,The Ice Storm,(1997),7.5,72,48964
515,The Peacemaker,(1997),5.9,43,48932
516,Mousehunt,(1997),6.4,54,44941
517,U Turn,(1997),6.8,54,44483
518,Absolute Power,(1997),6.7,52,43071
519,Lolita,(1997),6.9,46,42447
520,Breakdown,(I) (1997),6.9,73,41435
521,Mimic,(1997),5.9,55,39863
522,Mortal Kombat: Annihilation,(1997),3.7,11,39396
523,Deconstructing Harry,(1997),7.4,61,38134
524,Vegas Vacation,(1997),5.9,20,36944
525,Romy and Michele's High School Reunion,(1997),6.2,59,36474
526,In & Out,(1997),6.3,70,34269
527,Midnight in the Garden of Good and Evil,(1997),6.6,57,33639
528,Beverly Hills Ninja,(1997),5.5,27,33394
529,Orgazmo,(1997),6.2,48,31738
530,A Life Less Ordinary,(1997),6.4,35,31717
531,Private Parts,(1997),6.8,67,30970
532,Spice World,(1997),3.4,32,29602
533,Fools Rush In,(1997),6.0,37,29259
534,The Sweet Hereafter,(1997),7.6,90,28618
535,Gummo,(1997),6.7,19,26880
536,Murder at 1600,(1997),6.1,47,25227
537,Live Flesh,(1997),7.4,69,24591
538,Suicide Kings,(1997),7.0,43,23662
539,Kundun,(1997),7.0,74,23091
540,Addicted to Love,(1997),6.1,49,21056
541,Selena,(1997),6.7,67,20942
542,The Relic,(1997),5.7,55,20857
543,Fierce Creatures,(1997),6.4,62,20733
544,An American Werewolf in Paris,(1997),5.1,31,20493
545,The Spanish Prisoner,(1997),7.3,70,19609
546,Mad City,(1997),6.2,45,17439
547,Happy Together,(1997),7.8,69,17300
548,Nightwatch,(1997),6.2,40,17150
549,Picture Perfect,(1997),5.5,44,17098
550,The Boxer,(1997),7.1,75,15723
551,Affliction,(1997),7.0,79,12805
552,Smilla's Sense of Snow,(1997),6.4,45,12316
553,The Apostle,(1997),7.2,83,12120
554,In the Company of Men,(1997),7.3,81,12071
555,Mrs Brown,(1997),7.3,71,11907
556,Excess Baggage,(1997),5.3,34,11484
557,Inventing the Abbotts,(1997),6.4,49,10141
558,The Wings of the Dove,(1997),7.2,73,9378
559,Hoodlum,(1997),6.3,50,9062
560,Fever Pitch,(1997),6.7,55,8968
561,8 Heads in a Duffel Bag,(1997),5.3,15,8512
562,The Night Flier,(1997),6.0,36,8007
563,Eve's Bayou,(1997),7.3,78,7417
564,The Cure,(1997),7.4,70,7339
565,The House of Yes,(1997),6.7,54,7001
566,Shooting Fish,(1997),6.6,47,6929
567,Saving Private Ryan,(1998),8.6,90,1000927
568,American History X,(1998),8.5,62,874142
569,The Truman Show,(1998),8.1,90,757756
570,The Big Lebowski,(1998),8.2,69,604663
571,"Lock, Stock and Two Smoking Barrels",(1998),8.2,66,457985
572,Armageddon,(1998),6.6,42,349046
573,There's Something About Mary,(1998),7.1,69,262610
574,A Bug's Life,(1998),7.2,77,230455
575,Fear and Loathing in Las Vegas,(1998),7.7,41,229404
576,Blade,(1998),7.1,45,210052
577,Rush Hour,(1998),6.9,60,204969
578,Enemy of the State,(1998),7.3,67,202234
579,Mulan,(1998),7.6,71,198219
580,Shakespeare in Love,(1998),7.2,87,189717
581,Meet Joe Black,(1998),7.2,43,183202
582,Run Lola Run,(1998),7.7,77,171197
583,Dark City,(1998),7.7,66,169018
584,You've Got Mail,(1998),6.6,57,166344
585,Godzilla,(I) (1998),5.3,32,161876
586,Ronin,(1998),7.3,67,154424
587,Pi,(1998),7.4,72,153638
588,The Thin Red Line,(1998),7.6,78,151057
589,Rushmore,(1998),7.7,86,147096
590,The Mask of Zorro,(1998),6.7,63,146954
591,Deep Impact,(1998),6.1,40,143482
592,The Man in the Iron Mask,(I) (1998),6.5,48,137053
593,Lethal Weapon 4,(1998),6.6,37,136636
594,Antz,(1998),6.6,72,132672
595,Rounders,(1998),7.3,54,129316
596,The Waterboy,(1998),6.1,41,129142
597,The Wedding Singer,(1998),6.8,59,117885
598,The Negotiator,(1998),7.3,62,115352
599,Pleasantville,(1998),7.5,71,109526
600,City of Angels,(1998),6.7,54,101435
601,The Prince of Egypt,(1998),7.0,64,100099
602,The Parent Trap,(1998),6.5,64,98502
603,The Faculty,(1998),6.5,61,98173
